,"David_JAMES","Gary_NEVILLE","Ashley_COLE","Steven_GERRARD","John_TERRY","Sol_CAMPBELL","David_BECKHAM","Paul_SCHOLES","Wayne_ROONEY","Michael_OWEN","Frank_LAMPARD","Wayne_BRIDGE","Paul_ROBINSON","Phil_NEVILLE","Ledley_KING","Jamie_CARRAGHER","Nicky_BUTT","Owen_HARGREAVES","Joe_COLE","Kieron_DYER","Emile_HESKEY","Ian_WALKER","Darius_VASSELL"
"David_JAMES",,5,2,1,2,1,4,1,,1,,,,,,,,,,,,,1
"Gary_NEVILLE",4,,,7,1,1,14,3,,,3,,,1,1,,,,,,,,
"Ashley_COLE",,,,9,1,2,1,14,,,7,,,1,1,,,,,,,,1
"Steven_GERRARD",1,4,5,,1,2,6,1,,,9,,,1,1,,,,,,,,1
"John_TERRY",,,,,,,,,,,,,,,,,,,,,,,
"Sol_CAMPBELL",1,1,4,2,5,,1,1,1,,5,,,1,,,,,,,,,
"David_BECKHAM",,7,1,10,2,1,,3,6,2,11,,,2,3,,,,,,,,2
"Paul_SCHOLES",1,2,5,2,2,3,1,,9,1,5,,,,,,,,,,,,
"Wayne_ROONEY",,,3,4,,1,5,7,,2,4,,,,,,,,,,,,
"Michael_OWEN",1,3,1,3,,,,2,5,,3,,,1,2,,,,,,,,1
"Frank_LAMPARD",,3,10,6,2,2,10,2,8,5,,,,,3,,,,,,,,1
"Wayne_BRIDGE",,,,,,,,,,,,,,,,,,,,,,,
"Paul_ROBINSON",,,,,,,,,,,,,,,,,,,,,,,
"Phil_NEVILLE",,,,,,,,,,,,,,,,,,,,,,,
"Ledley_KING",,,,,,,,,,,,,,,,,,,,,,,
"Jamie_CARRAGHER",,,,,,,,,,,,,,,,,,,,,,,
"Nicky_BUTT",,,,,,,,,,,,,,,,,,,,,,,
"Owen_HARGREAVES",,,,,,,,,,,,,,,,,,,,,,,
"Joe_COLE",,,,,,,,,,,,,,,,,,,,,,,
"Kieron_DYER",,,,,,,,,,,,,,,,,,,,,,,
"Emile_HESKEY",,,,,,,,,,,,,,,,,,,,,,,
"Ian_WALKER",,,,,,,,,,,,,,,,,,,,,,,
"Darius_VASSELL",1,,1,1,,,1,,,1,1,,,,1,,,,,,,,
