 ,Antonios_NIKOPOLIDIS,Giourkas_SEITARIDIS,Stylianos_VENETIDIS,Nikolaos_DABIZAS,Traianos_DELLAS,Angelos_BASINAS,Theodoros_ZAGORAKIS,Stylianos_GIANNAKOPOULOS,Angelos_CHARISTEAS,Vassilios_TSIARTAS,Themistoklis_NIKOLAIDIS,Konstantinos_CHALKIAS,Theofanis_KATERGIANNAKIS,Panagiotis_FYSSAS,Zisis_VRYZAS,Pantelis_KAFES,Georgios_GEORGIADIS,Ioannis_GOUMAS,Mihalis_KAPSIS,Georgios_KARAGOUNIS,Konstantinos_KATSOURANIS,Dimitrios_PAPADOPOULOS,Vassilios_LAKIS
Antonios_NIKOPOLIDIS,0,2,0,0,2,0,0,0,7,0,1,0,0,0,4,0,0,0,3,0,3,0,0
Giourkas_SEITARIDIS,2,0,0,0,0,0,1,0,0,2,2,0,0,0,4,0,0,0,1,1,1,0,0
Stylianos_VENETIDIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolaos_DABIZAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Traianos_DELLAS,1,0,0,0,0,0,3,2,1,1,0,0,0,2,4,0,0,0,4,0,2,0,0
Angelos_BASINAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theodoros_ZAGORAKIS,0,3,1,0,1,0,0,2,4,4,3,0,0,2,5,0,0,0,2,2,2,0,0
Stylianos_GIANNAKOPOULOS,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,0,0,0,1,4,0,0,0
Angelos_CHARISTEAS,7,1,0,0,1,0,3,1,0,3,3,0,0,2,3,0,0,0,0,0,2,0,0
Vassilios_TSIARTAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Themistoklis_NIKOLAIDIS,1,2,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0
Konstantinos_CHALKIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theofanis_KATERGIANNAKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panagiotis_FYSSAS,0,0,0,0,2,0,1,0,0,2,2,0,0,0,3,0,0,0,1,1,5,0,0
Zisis_VRYZAS,0,1,0,0,2,0,2,2,2,3,2,0,0,1,0,0,0,0,0,1,4,0,0
Pantelis_KAFES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgios_GEORGIADIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ioannis_GOUMAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mihalis_KAPSIS,3,2,1,0,2,0,2,1,2,1,1,0,0,1,3,0,0,0,0,3,1,0,0
Georgios_KARAGOUNIS,0,1,0,0,0,0,1,3,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0
Konstantinos_KATSOURANIS,2,2,0,0,5,0,2,0,1,1,1,0,0,2,6,0,0,0,2,4,0,0,0
Dimitrios_PAPADOPOULOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vassilios_LAKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
