 ,Gary_NEVILLE,Ashley_COLE,Steven_GERRARD,John_TERRY,Sol_CAMPBELL,David_BECKHAM,Paul_SCHOLES,Wayne_ROONEY,Michael_OWEN,Frank_LAMPARD,Wayne_BRIDGE,Paul_ROBINSON,Phil_NEVILLE,Ledley_KING,Jamie_CARRAGHER,Nicky_BUTT,Owen_HARGREAVES,Joe_COLE,Kieron_DYER,Emile_HESKEY,Ian_WALKER,Darius_VASSELL
Gary_NEVILLE,0,0,1,0,0,1,10,3,3,0,0,0,0,0,2,0,0,0,0,0,1,0,1
Ashley_COLE,0,0,0,5,0,2,1,13,2,0,3,0,0,0,0,0,0,2,0,0,1,0,0
Steven_GERRARD,2,5,2,0,0,0,8,7,2,0,2,0,0,0,1,0,0,1,0,0,2,0,0
John_TERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sol_CAMPBELL,1,2,3,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
David_BECKHAM,0,5,0,2,0,0,0,5,13,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Paul_SCHOLES,1,3,9,8,0,3,3,0,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0
Wayne_ROONEY,0,2,1,2,0,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Michael_OWEN,0,1,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank_LAMPARD,0,1,6,6,0,2,5,8,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Wayne_BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul_ROBINSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil_NEVILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ledley_KING,3,1,1,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jamie_CARRAGHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicky_BUTT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen_HARGREAVES,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Joe_COLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieron_DYER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile_HESKEY,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3
Ian_WALKER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darius_VASSELL,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,4,0,0
