 ,Teddy_LUCIC,Olof_MELLBERG,Johan_MJLLBY,Erik_EDMAN,Tobias_LINDEROTH,Mikael_NILSSON,Anders_SVENSSON,Fredrik_LJUNGBERG,Zlatan_IBRAHIMOVIC,Henrik_LARSSON,Magnus_HEDMAN,Petter_HANSSON,Alexander_STLUND,Andreas_JAKOBSSON,Kim_KLLSTRM,Anders_ANDERSSON,Mattias_JONSON,Pontus_FARNERUD,Marcus_ALLBCK,Christian_WILHELMSSON,Erik_WAHLSTEDT,Magnus_KIHLSTEDT
Teddy_LUCIC,0,0,2,0,0,2,2,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0
Olof_MELLBERG,0,2,0,0,1,3,4,0,2,3,6,0,0,0,2,0,0,0,0,0,2,0,0
Johan_MJLLBY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik_EDMAN,1,0,0,0,0,0,0,1,0,9,0,0,0,0,6,0,0,0,0,1,0,0,0
Tobias_LINDEROTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikael_NILSSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anders_SVENSSON,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0
Fredrik_LJUNGBERG,0,0,1,0,7,4,1,1,0,1,6,0,0,0,1,1,0,0,0,1,0,0,0
Zlatan_IBRAHIMOVIC,0,1,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
Henrik_LARSSON,0,1,0,0,2,4,3,1,4,4,0,0,0,0,1,1,0,0,0,1,4,0,0
Magnus_HEDMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petter_HANSSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander_STLUND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas_JAKOBSSON,3,2,5,0,6,1,4,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Kim_KLLSTRM,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Anders_ANDERSSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattias_JONSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontus_FARNERUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus_ALLBCK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Christian_WILHELMSSON,0,0,2,0,1,0,1,1,0,1,3,0,0,0,1,1,0,0,0,0,0,0,0
Erik_WAHLSTEDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnus_KIHLSTEDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
